Country,daly04_100k,death08_100k,death04_100k,daly04_1k,death08_1k,death04_1k
Ethiopia,181,2,5,22446,332,658
Fiji,1,1,0,1,1,0
Finland,0,0,0,0,0,0
France,0,0,0,3,0,0
Gabon,0,9,0,0,17,0
Gambia,316,7,9,782,18,23
Georgia,80,2,2,190,4,6
Germany,0,0,0,9,0,0
Ghana,53,3,2,1660,114,48
Greece,1,0,0,7,0,0
Grenada,,0,,,0,
Guatemala,52,2,2,1032,32,30
Guinea,245,11,7,3741,176,110
Guinea-Bissau,610,12,18,1490,32,43
Guyana,0,0,0,0,0,0
Haiti,196,5,6,2424,65,70
Honduras,67,1,2,633,13,19
Hungary,1,0,0,6,0,0
Iceland,0,0,0,0,0,0
India,116,5,3,148385,6905,4331
Indonesia,64,2,2,13510,358,404
Iran (Islamic Republic of),85,6,2,5016,370,150
Iraq,1540,12,45,66013,555,1945
Ireland,0,0,0,0,0,0
Israel,1,0,0,4,0,0
Italy,0,0,0,9,0,0
Jamaica,10,1,0,27,3,1
Japan,1,0,0,71,1,2
Jordan,51,3,2,360,26,11
Kazakhstan,45,5,1,520,68,16
Kenya,61,4,2,3511,249,102
Kiribati,,0,,,0,
Kuwait,31,1,1,70,1,2
Kyrgyzstan,34,1,1,174,7,5
Lao People's Democratic Republic,4,1,0,30,6,1
Latvia,0,0,0,0,0,0
Lebanon,38,1,1,133,2,4
Lesotho,10,2,0,28,5,1
Liberia,178,6,5,970,35,28
Libya,145,3,4,938,20,28
Lithuania,2,0,0,3,0,0
Luxembourg,0,0,0,0,0,0
Madagascar,128,2,4,3714,66,108
Malawi,224,3,7,5447,76,160
Malaysia,3,0,0,72,2,2
Maldives,42,1,1,11,0,0
Mali,458,9,13,9166,202,265
Malta,,0,,,0,
Marshall Islands,,,,,0,
Mauritania,166,16,5,739,74,21
Mauritius,2,0,0,2,0,0
Mexico,35,1,1,3707,57,110
Micronesia (Federated States of),,0,,,0,
Monaco,,0,,,0,
Mongolia,2,19,0,5,44,0
Morocco,19,6,1,565,190,17
Mozambique,135,11,4,4875,422,143
Myanmar,95,3,3,4371,141,127
Namibia,4,1,0,10,4,0
Nauru,,0,,,0,
Nepal,58,1,2,2129,24,63
Netherlands,1,0,0,6,0,0
New Zealand,0,0,0,0,0,0
Nicaragua,16,1,0,108,7,3
Niger,465,6,14,11857,201,348
Nigeria,622,14,18,144215,3547,4111
Niue,,0,,,0,
Norway,0,0,0,0,0,0
Oman,35,1,1,102,2,3
Pakistan,383,22,11,86328,5183,2524
Palau,,0,,,0,
Panama,24,0,1,81,2,2
Papua New Guinea,0,1,0,0,8,0
Paraguay,38,1,1,279,5,8
Peru,56,2,2,1685,69,50
Philippines,26,1,1,2739,129,81
Poland,1,0,0,19,0,1
Portugal,1,0,0,4,0,0
Qatar,3,1,0,2,1,0
Republic of Korea,1,0,0,19,1,1
Republic of Moldova,25,1,1,49,2,2
Romania,67,1,2,726,7,22
Russian Federation,3,0,0,183,8,6
Rwanda,281,2,8,4151,38,121
Saint Kitts and Nevis,0,0,0,0,0,0
Saint Lucia,,0,,,0,
Saint Vincent and the Grenadines,2,0,0,0,0,0
Samoa,,0,,,0,
San Marino,,0,,,0,
Sao Tome and Principe,244,9,7,56,2,2
Saudi Arabia,64,2,2,1824,65,55
Senegal,565,14,16,10481,289,303
Seychelles,,0,,,0,
Sierra Leone,849,11,25,7180,105,209
Singapore,7,0,0,17,0,0
Slovakia,1,0,0,4,0,0
Slovenia,0,0,0,0,0,0
Solomon Islands,,0,,,0,
Somalia,179,19,5,2684,310,78
South Africa,17,2,0,880,130,26
Spain,0,0,0,5,0,0
Sri Lanka,4,0,0,67,3,2
Sudan,424,11,12,24113,635,706
Suriname,0,0,0,0,0,0
Swaziland,51,2,2,81,3,2
Sweden,0,0,0,0,0,0
Switzerland,0,0,0,0,0,0
Syrian Arab Republic,39,2,1,989,44,30
Tajikistan,119,1,4,1025,10,30
Thailand,15,0,0,715,7,22
The former Yugoslav republic of Macedonia,2,0,0,2,0,0
The former state union Serbia and Montenegro,,0,,,0,
Timor-Leste,,0,,,0,
Togo,97,5,3,871,49,25
Tonga,,0,,,0,
Trinidad and Tobago,0,0,0,0,0,0
Tunisia,19,1,1,147,8,4
Turkey,73,2,2,4808,155,144
Turkmenistan,220,2,7,1113,8,33
Tuvalu,,0,,,0,
Uganda,18,2,0,1009,111,29
Ukraine,2,0,0,32,2,1
United Arab Emirates,13,1,0,37,2,1
United Kingdom of Great Britain and Northern Ireland,0,0,0,17,0,0
United Republic of Tanzania,71,4,2,4763,328,138
United States of America,1,0,0,125,2,4
Uruguay,29,0,1,74,0,2
Uzbekistan,187,1,6,4931,34,148
Vanuatu,0,0,0,0,0,0
Venezuela (Bolivarian Republic of),0,0,0,13,10,0
Viet Nam,21,1,1,1591,48,47
Yemen,177,5,5,6072,184,178
Zambia,418,12,12,8759,263,252
Zimbabwe,89,5,3,1525,81,44
